"","Gene","Target","ex2_GFP_Rep1_Chip21","ex2_GFP_Rep2_Chip21","ex2_GFP_polyIC_Rep1_Chip21","ex2_GFP_polyIC_Rep2_Chip21","ex2_NS5_Rep1_Chip21","ex2_NS5_Rep2_Chip21","ex2_NS5_polyIC_Rep1_Chip21","ex2_NS5_polyIC_Rep2_Chip21","COSMIC_CGC_FLAG","NCBI_NAME","HGNC_SYMBOL_ACC","ENTREZ_GENE_ID","U133PLUS2_PSID","MIM_MORBID_DESCRIPTION"
"WDR66","WDR66","AMPL34318931",19,20,14,12,23,10,15,16,0,"WD_repeat_domain_66","28506","144406","1555007_s_at,209334_s_at,230193_at","."
"WDR67","WDR67","AMPL34695341",50,62,58,58,46,52,64,64,0,".",".",".",".","."
"WDR69","WDR69","AMPL16685081",8,11,14,12,17,14,18,24,0,".",".",".",".","."
"WDR7","WDR7","AMPL25961691",31,44,32,38,35,38,26,23,0,"WD_repeat_domain_7","13490","23335","212880_at,237122_at","."
"WDR70","WDR70","AMPL31985544",75,94,94,79,116,95,108,101,0,"WD_repeat_domain_70","25495","55100","219193_at","."
"WDR72","WDR72","AMPL21692936",133,139,119,108,124,152,106,114,0,"WD_repeat_domain_72","26790","256764","1563874_at,227174_at,236741_at,238253_at","AMELOGENESIS_IMPERFECTA__HYPOMATURATION_TYPE__IIA3__AI2A3"
"WDR73","WDR73","AMPL16660633",112,159,151,112,135,98,204,186,0,"WD_repeat_domain_73","25928","84942","213031_s_at","."
"WDR74","WDR74","AMPL32198759",190,171,228,207,218,189,333,347,0,"WD_repeat_domain_74","25529","54663","218278_at,221712_s_at,240672_at","."
"WDR75","WDR75","AMPL14819861",565,476,720,828,633,782,1113,806,0,"WD_repeat_domain_75","25725","84128","224721_at","."
"WDR76","WDR76","AMPL15013700",50,72,92,90,69,58,89,88,0,"WD_repeat_domain_76","25773","79968","205519_at,239680_at","."
"WDR77","WDR77","AMPL36826503",320,351,286,255,323,273,374,395,0,"WD_repeat_domain_77","29652","79084","201420_s_at,201421_s_at","."
"WDR81","WDR81","AMPL6823886",86,47,90,84,68,72,35,74,0,"WD_repeat_domain_81","26600","124997","226738_at","CEREBELLAR_ATAXIA__MENTAL_RETARDATION__AND_DYSEQUILIBRIUM_SYNDROME"
"WDR82","WDR82","AMPL13991545",290,314,406,430,357,389,290,284,0,"WD_repeat_domain_82","28826","80335","201934_at","."
"WDR83","WDR83","AMPL15301592",23,35,29,27,29,37,41,31,0,"WD_repeat_domain_83","32672","84292","224434_s_at","."
"WDR83OS","WDR83OS","AMPL31922987",486,453,383,420,597,452,468,518,0,"WD_repeat_domain_83_opposite_strand","30203","51398","217780_at","."
"WDR85","WDR85","AMPL35203107",17,19,19,11,14,12,24,20,0,".",".",".",".","."
"WDR91","WDR91","AMPL24170685",19,20,24,19,22,18,12,20,0,"WD_repeat_domain_91","24997","29062","218971_s_at,222799_at,230888_at","."
"WDR92","WDR92","AMPL35883464",63,80,57,59,47,82,86,64,0,"WD_repeat_domain_92","25176","116143","235071_at","."
"WDSUB1","WDSUB1","AMPL5491386",45,52,28,36,41,32,51,69,0,"WD_repeat__sterile_alpha_motif_and_U-box_domain_containing_1","26697","151525","226668_at","."
"WDTC1","WDTC1","AMPL26729602",17,19,13,16,13,13,7,10,0,"WD_and_tetratricopeptide_repeats_1","29175","23038","215497_s_at,216036_x_at,40829_at","."
"WDYHV1","WDYHV1","AMPL33936047",98,101,99,102,112,91,98,105,0,"WDYHV_motif_containing_1","25490","55093","219060_at","."
"WEE1","WEE1","AMPL7120172",230,316,416,427,326,361,396,555,0,"WEE1_G2_checkpoint_kinase","12761","7465","212533_at,215711_s_at","."
"WFS1","WFS1","AMPL27789816",23,18,17,27,30,17,9,20,0,"Wolfram_syndrome_1__wolframin","12762","7466","1555270_a_at,202908_at","DEAFNESS__AUTOSOMAL_DOMINANT_6__DFNA6,WOLFRAM_SYNDROME_1__WFS1,WOLFRAM-LIKE_SYNDROME__AUTOSOMAL_DOMINANT__WFSL"
"WHAMM","WHAMM","AMPL3952447",115,108,190,165,166,184,135,162,0,"WAS_protein_homolog_associated_with_actin__golgi_membranes_and_microtubules","30493","123720","228953_at","."
"WHAMMP2","WHAMMP2","AMPL18778773",26,29,29,29,27,26,21,30,0,"WAS_protein_homolog_associated_with_actin__golgi_membranes_and_microtubules_pseudogene_2","32360","440253","1557261_at,1560662_s_at,213908_at,244105_at","."
"WHSC1","WHSC1","AMPL3062959",115,102,106,125,128,128,68,78,1,"Wolf-Hirschhorn_syndrome_candidate_1","12766","7468","209052_s_at,209053_s_at,209054_s_at,222777_s_at,222778_s_at,223472_at","."
"WHSC1L1","WHSC1L1","AMPL35602873",82,65,72,62,52,83,59,40,1,"Wolf-Hirschhorn_syndrome_candidate_1-like_1","12767","54904","218173_s_at,221248_s_at,222544_s_at,223568_s_at,223569_at,224076_s_at,225318_at,226150_at,238496_at","."
"WHSC2","WHSC2","AMPL28802962",95,103,132,146,156,132,91,99,0,".",".",".",".","."
"WIBG","WIBG","AMPL14538349",73,79,76,54,67,64,83,69,0,"within_bgcn_homolog__Drosophila","30258","84305","224465_s_at,242304_at","."
"WIPF1","WIPF1","AMPL8064090",74,88,50,63,97,91,51,64,0,"WAS_WASL_interacting_protein_family__member_1","12736","7456","202663_at,202664_at,202665_s_at,231182_at","WISKOTT-ALDRICH_SYNDROME_2__WAS2"
"WIPF2","WIPF2","AMPL17780009",210,202,175,189,212,144,110,115,0,"WAS_WASL_interacting_protein_family__member_2","30923","147179","212049_at,212050_at,212051_at,231251_at","."
"WIPI1","WIPI1","AMPL30888171",25,33,10,19,40,19,11,22,0,"WD_repeat_domain__phosphoinositide_interacting_1","25471","55062","203827_at,213836_s_at","."
"WIPI2","WIPI2","AMPL32276019",266,253,244,243,251,267,273,365,0,"WD_repeat_domain__phosphoinositide_interacting_2","32225","26100","1570033_at,202031_s_at,204710_s_at,214699_x_at,226986_at","."
"WISP2","WISP2","AMPL30364216",10,18,7,6,17,12,7,2,0,"WNT1_inducible_signaling_pathway_protein_2","12770","8839","205792_at","."
"WIZ","WIZ","AMPL37331106",120,110,113,133,118,124,118,104,0,"widely_interspaced_zinc_finger_motifs","30917","58525","221783_at,221784_at,221785_at,52005_at","."
"WLS","WLS","AMPL14958512",24,22,22,12,29,24,26,30,0,"wntless_Wnt_ligand_secretion_mediator","30238","79971","221958_s_at,228949_at,228950_s_at","."
"WNK1","WNK1","AMPL7468503",7,11,12,9,15,14,15,17,0,"WNK_lysine_deficient_protein_kinase_1","14540","65125","1555068_at,202940_at,211992_at,211993_at,211994_at,39313_at","NEUROPATHY__HEREDITARY_SENSORY_AND_AUTONOMIC__TYPE_IIA__HSAN2A,PSEUDOHYPOALDOSTERONISM__TYPE_IIC__PHA2C"
"WNK2","WNK2","AMPL13267032",17,35,21,27,17,18,18,26,0,"WNK_lysine_deficient_protein_kinase_2","14542","65268","1557536_at,1562026_at,227217_at,229547_s_at,239670_at","."
"WNK4","WNK4","AMPL15564937",7,3,5,11,19,3,5,7,0,"WNK_lysine_deficient_protein_kinase_4","14544","65266","229158_at,244344_at","PSEUDOHYPOALDOSTERONISM__TYPE_IIB__PHA2B"
"WNT3","WNT3","AMPL15482703",34,26,26,16,26,19,19,20,0,"wingless-type_MMTV_integration_site_family__member_3","12782","101929777,7473","221455_s_at,229103_at,231743_at","TETRAAMELIA__AUTOSOMAL_RECESSIVE"
"WNT7B","WNT7B","AMPL17539730",197,212,370,273,171,228,177,163,0,"wingless-type_MMTV_integration_site_family__member_7B","12787","7477","217681_at,238105_x_at","."
"WRAP53","WRAP53","AMPL4338350",93,117,132,127,97,129,113,127,0,"WD_repeat_containing__antisense_to_TP53","25522","55135","220258_s_at,44563_at","DYSKERATOSIS_CONGENITA__AUTOSOMAL_RECESSIVE__3__DKCB3"
"WRAP73","WRAP73","AMPL32786594",16,22,28,23,28,16,24,27,0,"WD_repeat_containing__antisense_to_TP73","12759","49856","219322_s_at,236381_s_at,236382_at","."
"WRB","WRB","AMPL28516838",133,178,70,75,112,114,85,97,0,"tryptophan_rich_basic_protein","12790","7485","202749_at","."
"WRN","WRN","AMPL3410863",140,117,120,126,143,119,147,147,1,"Werner_syndrome__RecQ_helicase-like","12791","7486","205667_at","COLORECTAL_CANCER__CRC,WERNER_SYNDROME__WRN"
"WRNIP1","WRNIP1","AMPL32141102",92,147,166,150,148,155,115,138,0,"Werner_helicase_interacting_protein_1","20876","56897","218015_s_at,222489_s_at","."
"WSB1","WSB1","AMPL31413671",163,170,182,146,181,194,208,168,0,"WD_repeat_and_SOCS_box_containing_1","19221","26118","201294_s_at,201295_s_at,201296_s_at,210561_s_at","."
"WSB2","WSB2","AMPL33471519",353,427,271,267,396,353,364,468,0,"WD_repeat_and_SOCS_box_containing_2","19222","55884","201760_s_at","."
"WT1","WT1","AMPL36043510",6,18,21,21,6,18,24,9,1,"Wilms_tumor_1","12796","7490","206067_s_at,216953_s_at","DENYS-DRASH_SYNDROME__DDS,FRASIER_SYNDROME,MEACHAM_SYNDROME,MESOTHELIOMA__MALIGNANT__MESOM,NEPHROTIC_SYNDROME__TYPE_4__NPHS4,WILMS_TUMOR_1__WT1"
"WTAP","WTAP","AMPL29952649",86,91,84,84,78,86,107,81,0,"Wilms_tumor_1_associated_protein","16846","9589","203137_at,210285_x_at,229630_s_at","."
"WTIP","WTIP","AMPL5707049",143,168,181,194,213,214,139,152,0,"Wilms_tumor_1_interacting_protein","20964","126374","227411_at","."
"WWC1","WWC1","AMPL9571431",223,270,331,262,286,242,400,403,0,"WW_and_C2_domain_containing_1","29435","23286","213085_s_at,216074_x_at,229180_at,241950_at","."
"WWC2","WWC2","AMPL14235807",145,167,131,136,173,155,121,155,0,"WW_and_C2_domain_containing_2","24148","53842,80014","1554762_a_at,218775_s_at,222738_at","."
"WWC3","WWC3","AMPL32179876",227,228,119,131,223,194,89,115,0,"WWC_family_member_3","29237","55841","219520_s_at,225273_at","."
"WWOX","WWOX","AMPL33287334",37,27,17,24,35,25,25,20,0,"WW_domain_containing_oxidoreductase","12799","51741","210695_s_at,219077_s_at,221147_x_at,223747_x_at,223868_s_at","ESOPHAGEAL_CANCER"
"WWP1","WWP1","AMPL12518237",118,137,75,93,108,91,104,109,0,"WW_domain_containing_E3_ubiquitin_protein_ligase_1","17004","11059","212637_s_at,212638_s_at","."
"WWP2","WWP2","AMPL13711974",119,101,112,86,94,70,63,71,0,"WW_domain_containing_E3_ubiquitin_protein_ligase_2","16804","11060","1552737_s_at,204022_at,210200_at","."
"WWTR1","WWTR1","AMPL7329900",714,701,677,612,754,619,537,668,1,"WW_domain_containing_transcription_regulator_1","24042","25937","202132_at,202133_at,202134_s_at","."
"XAB2","XAB2","AMPL33433413",90,81,126,111,98,76,87,100,0,"XPA_binding_protein_2","14089","56949","218110_at","."
"XAF1","XAF1","AMPL22068933",55,47,353,324,264,270,391,380,0,"XIAP_associated_factor_1","30932","54739","206133_at,228617_at,242234_at","."
"XBP1","XBP1","AMPL1273187",383,421,555,549,384,367,653,755,0,"X-box_binding_protein_1","12801","7494",".","MAJOR_AFFECTIVE_DISORDER_7__MAFD7"
"XDH","XDH","AMPL1701534",5,8,9,6,15,13,13,9,0,"xanthine_dehydrogenase","12805","7498","210301_at,241994_at","XANTHINURIA__TYPE_I"
"XIAP","XIAP","AMPL7334603",141,163,163,144,164,157,148,110,0,"X-linked_inhibitor_of_apoptosis","592","331","206536_s_at,225858_s_at,225859_at,228363_at,235222_x_at,243026_x_at","LYMPHOPROLIFERATIVE_SYNDROME__X-LINKED__2__XLP2"
"XKR8","XKR8","AMPL33021205",6,11,12,7,10,9,6,7,0,"XK__Kell_blood_group_complex_subunit-related_family__member_8","25508","55113","218753_at","."
"XPA","XPA","AMPL3439746",75,88,94,83,69,78,118,102,1,"xeroderma_pigmentosum__complementation_group_A","12814","7507","205672_at","XERODERMA_PIGMENTOSUM__COMPLEMENTATION_GROUP_A__XPA"
"XPC","XPC","AMPL28513550",174,212,164,174,206,191,129,148,1,"xeroderma_pigmentosum__complementation_group_C","12816","7508","209375_at","XERODERMA_PIGMENTOSUM__COMPLEMENTATION_GROUP_C__XPC"
"XPNPEP1","XPNPEP1","AMPL32127190",66,78,42,52,69,52,53,27,0,"X-prolyl_aminopeptidase__aminopeptidase_P__1__soluble","12822","7511","208453_s_at,209045_at,236239_at","."
"XPNPEP3","XPNPEP3","AMPL35414100",51,66,38,46,39,41,34,41,0,"X-prolyl_aminopeptidase__aminopeptidase_P__3__putative","28052","63929","218117_at,220020_at,224188_s_at,226501_at,227910_at","NEPHRONOPHTHISIS-LIKE_NEPHROPATHY_1__NPHPL1"
"XPO1","XPO1","AMPL9938295",639,453,604,583,653,678,802,1074,1,"exportin_1__CRM1_homolog__yeast","12825","7514","208775_at,235927_at","."
"XPO4","XPO4","AMPL34989143",77,93,69,62,64,60,49,63,0,"exportin_4","17796","64328","218479_s_at,222649_at","."
"XPO5","XPO5","AMPL31892274",82,91,127,99,80,115,90,76,0,"exportin_5","17675","57510","223055_s_at,223056_s_at,223057_s_at","."
"XPO6","XPO6","AMPL25469598",354,330,320,337,346,327,276,332,0,"exportin_6","19733","23214","211982_x_at,214784_x_at","."
"XPO7","XPO7","AMPL26143825",329,284,306,306,332,335,313,298,0,"exportin_7","14108","23039","208459_s_at,212166_at,235796_at,240168_at","."
"XPOT","XPOT","AMPL12067555",726,775,561,561,718,620,746,790,0,"exportin__tRNA","12826","11260","212160_at,227117_at","."
"XPR1","XPR1","AMPL28885058",401,403,272,267,484,355,199,229,0,"xenotropic_and_polytropic_retrovirus_receptor_1","12827","9213","222581_at,226615_at","."
"XRCC1","XRCC1","AMPL27997545",175,218,218,189,234,190,247,237,0,"X-ray_repair_complementing_defective_repair_in_Chinese_hamster_cells_1","12828","7515","203655_at","."
"XRCC2","XRCC2","AMPL28183476",45,50,96,91,67,69,46,79,0,"X-ray_repair_complementing_defective_repair_in_Chinese_hamster_cells_2","12829","7516","207598_x_at","."
"XRCC3","XRCC3","AMPL3903442",152,151,289,272,192,210,151,224,0,"X-ray_repair_complementing_defective_repair_in_Chinese_hamster_cells_3","12830","7517","216299_s_at","BREAST_CANCER,MELANOMA__CUTANEOUS_MALIGNANT__SUSCEPTIBILITY_TO__6__CMM6"
"XRCC4","XRCC4","AMPL35402907",81,74,87,79,98,105,121,143,0,"X-ray_repair_complementing_defective_repair_in_Chinese_hamster_cells_4","12831","7518","205071_x_at,205072_s_at,210812_at,210813_s_at","."
"XRCC5","XRCC5","AMPL37189013",1502,1591,1314,1211,1365,1582,1818,1632,0,"X-ray_repair_complementing_defective_repair_in_Chinese_hamster_cells_5__double-strand-break_rejoining","12833","7520","208642_s_at,208643_s_at","."
"XRCC6","XRCC6","AMPL8648783",1050,1000,1071,1034,1145,1268,1072,1387,0,"X-ray_repair_complementing_defective_repair_in_Chinese_hamster_cells_6","4055","2547","200792_at","."
"XRCC6BP1","XRCC6BP1","AMPL16636087",46,44,33,33,41,38,49,43,0,"XRCC6_binding_protein_1","29452","91419","227678_at","."
"XRN1","XRN1","AMPL1859832",57,60,50,67,62,95,57,45,0,"5p-3p_exoribonuclease_1","30654","54464","1555785_a_at,1570394_at,225814_at,233632_s_at","."
"XRN2","XRN2","AMPL12554126",369,391,309,319,360,305,487,446,0,"5p-3p_exoribonuclease_2","12836","22803","223002_s_at,233878_s_at","."
"XXYLT1","XXYLT1","AMPL36107371",4,20,19,17,15,7,16,12,0,"xyloside_xylosyltransferase_1","26639","152002","226891_at","."
"XYLB","XYLB","AMPL28710135",23,21,17,15,11,18,14,13,0,"xylulokinase_homolog__H._influenzae","12839","9942","1569683_at,208318_s_at,214776_x_at","."
"XYLT2","XYLT2","AMPL36842666",147,135,153,183,145,172,85,102,0,"xylosyltransferase_II","15517","64132","1570528_at,219401_at","."
"YAE1D1","YAE1D1","AMPL33549800",177,183,204,216,203,231,317,334,0,"Yae1_domain_containing_1","24857","57002","223433_at","."
"YAF2","YAF2","AMPL7292906",11,18,11,22,36,25,27,22,0,"YY1_associated_factor_2","17363","10138","206238_s_at,244783_at","."
"YAP1","YAP1","AMPL5626228",546,526,555,649,673,698,623,580,0,"Yes-associated_protein_1","16262","10413","213342_at,224894_at,224895_at","."
"YARS","YARS","AMPL7703627",249,278,226,204,293,230,190,201,0,"tyrosyl-tRNA_synthetase","12840","8565","212048_s_at,238760_at","CHARCOT-MARIE-TOOTH_DISEASE__DOMINANT_INTERMEDIATE_C__CMTDIC"
"YARS2","YARS2","AMPL2270575",309,333,311,350,268,306,567,463,0,"tyrosyl-tRNA_synthetase_2__mitochondrial","24249","51067","218470_at","MYOPATHY__LACTIC_ACIDOSIS__AND_SIDEROBLASTIC_ANEMIA_2__MLASA2"
"YBEY","YBEY","AMPL15981903",149,150,152,148,133,139,178,208,0,"ybeY_metallopeptidase__putative","1299","54059","227421_at,242565_x_at","."
"YBX1","YBX1","AMPL29383354",1207,1198,986,904,1129,1066,1261,1629,0,"Y_box_binding_protein_1","8014","4904","208627_s_at,208628_s_at","."
"YDJC","YDJC","AMPL421459",71,53,93,101,63,57,82,88,0,"YdjC_homolog__bacterial","27158","150223","227042_at","."
"YEATS2","YEATS2","AMPL31577909",105,132,147,150,146,147,78,118,0,"YEATS_domain_containing_2","25489","55689","1557047_at,221203_s_at","."
"YEATS4","YEATS4","AMPL12255107",209,229,266,310,266,261,333,334,0,"YEATS_domain_containing_4","24859","8089","218911_at","."
"YES1","YES1","AMPL28184766",254,259,176,204,226,220,172,192,0,"v-yes-1_Yamaguchi_sarcoma_viral_oncogene_homolog_1","12841","7525","202932_at,202933_s_at","."
"YIF1A","YIF1A","AMPL34078028",351,363,282,273,421,318,309,288,0,"Yip1_interacting_factor_homolog_A__S._cerevisiae","16688","10897","202418_at","."
"YIF1B","YIF1B","AMPL4448612",453,479,429,379,582,578,425,582,0,"Yip1_interacting_factor_homolog_B__S._cerevisiae","30511","90522","1554553_s_at,226437_at,231211_s_at","."
"YIPF1","YIPF1","AMPL30689968",99,86,75,65,99,89,116,124,0,"Yip1_domain_family__member_1","25231","54432","214733_s_at","."
"YIPF2","YIPF2","AMPL35826818",33,34,14,11,28,18,17,12,0,"Yip1_domain_family__member_2","28476","78992","219075_at,221939_at,65086_at","."
"YIPF3","YIPF3","AMPL24505391",397,364,252,222,372,360,332,317,0,"Yip1_domain_family__member_3","21023","25844","216338_s_at","."
"YIPF4","YIPF4","AMPL15461298",16,15,25,18,28,32,34,23,0,"Yip1_domain_family__member_4","28145","84272","209551_at,235220_at,242818_x_at","."
"YIPF5","YIPF5","AMPL13833067",507,534,318,310,553,469,438,449,0,"Yip1_domain_family__member_5","24877","81555","221423_s_at,224934_at,224949_at,224953_at","."
"YIPF6","YIPF6","AMPL17680909",463,495,402,385,448,369,353,441,0,"Yip1_domain_family__member_6","28304","286451","212340_at,212341_at,212342_at,212343_at","."
"YKT6","YKT6","AMPL12608516",260,299,298,234,268,290,223,193,0,"YKT6_v-SNARE_homolog__S._cerevisiae","16959","10652","217784_at,217785_s_at","."
"YLPM1","YLPM1","AMPL31614899",80,103,71,50,71,71,67,59,0,"YLP_motif_containing_1","17798","56252","1557065_at,212787_at,214659_x_at,214713_at","."
"YME1L1","YME1L1","AMPL24577338",488,525,433,439,566,392,361,439,0,"YME1-like_1_ATPase","12843","10730","201351_s_at,201352_at,216304_x_at,232216_at","."
"YOD1","YOD1","AMPL32617203",43,59,93,105,84,114,61,64,0,"YOD1_deubiquitinase","25035","55432","215150_at,227309_at","."
"YPEL3","YPEL3","AMPL4452219",26,25,11,16,16,17,16,11,0,"yippee-like_3__Drosophila","18327","83719","223179_at,232077_s_at","."
"YPEL5","YPEL5","AMPL32755254",677,668,501,578,772,1055,902,782,0,"yippee-like_5__Drosophila","18329","51646","217783_s_at,222408_s_at","."
"YRDC","YRDC","AMPL14532183",81,113,183,144,101,126,166,141,0,"yrdC_N_6_-threonylcarbamoyltransferase_domain_containing","28905","79693","218647_s_at,222703_s_at","."
"YTHDC1","YTHDC1","AMPL1648092",171,219,228,201,194,257,396,416,0,"YTH_domain_containing_1","30626","91746","212455_at,228556_at,240459_at","."
"YTHDC2","YTHDC2","AMPL36507789",36,21,13,21,23,33,21,24,0,"YTH_domain_containing_2","24721","64848","1568680_s_at,205835_s_at,205836_s_at,213077_at","."
"YTHDF1","YTHDF1","AMPL32433445",328,464,388,376,366,356,442,476,0,"YTH_domain_family__member_1","15867","54915","221741_s_at","."
"YTHDF2","YTHDF2","AMPL9515333",341,389,470,466,378,372,646,667,0,"YTH_domain_family__member_2","31675","51441","217812_at,222430_s_at","."
"YTHDF3","YTHDF3","AMPL35112310",212,158,201,211,240,186,158,146,0,"YTH_domain_family__member_3","26465","253943","1564053_a_at,221749_at","."
"YWHAB","YWHAB","AMPL7118022",1698,1644,1330,1112,1562,1129,1143,1414,0,"tyrosine_3-monooxygenase_tryptophan_5-monooxygenase_activation_protein__beta","12849","7529","208743_s_at,217717_s_at,217718_s_at","."
"YWHAE","YWHAE","AMPL12300985",4515,4407,5196,5537,6520,6116,5476,6772,1,"tyrosine_3-monooxygenase_tryptophan_5-monooxygenase_activation_protein__epsilon","12851","7531","210317_s_at,210996_s_at","."
"YWHAG","YWHAG","AMPL12211753",692,789,796,660,788,743,381,400,0,"tyrosine_3-monooxygenase_tryptophan_5-monooxygenase_activation_protein__gamma","12852","7532","222985_at","."
"YWHAH","YWHAH","AMPL9605839",258,236,235,239,275,268,253,249,0,"tyrosine_3-monooxygenase_tryptophan_5-monooxygenase_activation_protein__eta","12853","7533","201020_at","."
"YWHAQ","YWHAQ","AMPL12298010",3554,3650,3075,3029,4336,4697,4333,5529,0,"tyrosine_3-monooxygenase_tryptophan_5-monooxygenase_activation_protein__theta","12854","10971","200693_at,212426_s_at,213699_s_at","."
"YWHAZ","YWHAZ","AMPL2920637",45,49,39,42,51,51,34,59,0,"tyrosine_3-monooxygenase_tryptophan_5-monooxygenase_activation_protein__zeta","12855","7534","1556496_a_at,200638_s_at,200639_s_at,200640_at,200641_s_at,214848_at","."
"YY1","YY1","AMPL9607289",697,812,873,813,936,968,1044,1117,0,"YY1_transcription_factor","12856","7528","200047_s_at,201901_s_at,201902_s_at,224711_at,224718_at","."
"YY2","YY2","AMPL20636554",55,43,50,40,62,67,33,38,0,"YY2_transcription_factor","31684","404281","216531_at","."
"ZADH2","ZADH2","AMPL16299076",18,27,20,15,24,9,10,14,0,"zinc_binding_alcohol_dehydrogenase_domain_containing_2","28697","284273","1554239_s_at,227049_at,227977_at,227978_s_at,234977_at,243417_at","."
"ZAK","ZAK","AMPL32821544",121,126,142,112,131,126,188,208,0,".",".",".",".","."
"ZBED1","ZBED1","AMPL8599928",19,20,41,41,47,29,31,20,0,"zinc_finger__BED-type_containing_1","447","9189","1554821_a_at,203043_at","."
"ZBED4","ZBED4","AMPL24221462",15,8,13,22,23,12,18,5,0,"zinc_finger__BED-type_containing_4","20721","9889","204799_at,214747_at","."
"ZBED5","ZBED5","AMPL4204393",222,229,189,208,278,270,221,197,0,"zinc_finger__BED-type_containing_5","30803","101928029,58486","218263_s_at,242552_x_at","."
"ZBED6","ZBED6","AMPL10320522",291,356,383,328,377,404,306,345,0,"zinc_finger__BED-type_containing_6","33273","100381270","1565867_a_at,243648_at","."
"ZBP1","ZBP1","AMPL14357436",1,1,18,16,7,10,13,15,0,"Z-DNA_binding_protein_1","16176","81030","208087_s_at,242020_s_at","."
"ZBTB1","ZBTB1","AMPL2994016",121,148,190,199,181,222,205,189,0,"zinc_finger_and_BTB_domain_containing_1","20259","22890","205092_x_at,213376_at","."
"ZBTB10","ZBTB10","AMPL1388054",50,67,86,92,68,64,58,65,0,"zinc_finger_and_BTB_domain_containing_10","30953","65986","219312_s_at,222863_at,228562_at,233899_x_at,235726_at,236105_at","."
"ZBTB11","ZBTB11","AMPL24241288",189,206,174,211,233,221,220,233,0,"zinc_finger_and_BTB_domain_containing_11","16740","27107","204847_at,242433_at","."
"ZBTB17","ZBTB17","AMPL9603677",25,34,30,48,24,27,19,34,0,"zinc_finger_and_BTB_domain_containing_17","12936","7709","203601_s_at,203602_s_at","."
"ZBTB2","ZBTB2","AMPL36816645",111,113,174,164,185,196,132,127,0,"zinc_finger_and_BTB_domain_containing_2","20868","57621","226284_at","."
"ZBTB20","ZBTB20","AMPL8791056",12,17,20,12,24,27,12,23,0,"zinc_finger_and_BTB_domain_containing_20","13503","26137","205383_s_at,222357_at,235308_at,244581_at","."
"ZBTB24","ZBTB24","AMPL25578691",24,28,36,37,23,50,36,29,0,"zinc_finger_and_BTB_domain_containing_24","21143","9841","1554037_a_at,205340_at","IMMUNODEFICIENCY-CENTROMERIC_INSTABILITY-FACIAL_ANOMALIES_SYNDROME"
"ZBTB25","ZBTB25","AMPL13492851",49,59,60,66,70,78,55,60,0,"zinc_finger_and_BTB_domain_containing_25","13112","7597","214482_at","."
"ZBTB33","ZBTB33","AMPL12143985",169,133,223,201,184,148,117,136,0,"zinc_finger_and_BTB_domain_containing_33","16682","10009","214631_at,226255_at","."
"ZBTB37","ZBTB37","AMPL2620126",28,28,33,52,40,38,25,35,0,"zinc_finger_and_BTB_domain_containing_37","28365","84614","223953_s_at,228216_at,231547_at","."
"ZBTB38","ZBTB38","AMPL3955685",454,450,526,538,611,611,403,469,0,"zinc_finger_and_BTB_domain_containing_38","26636","253461","1558733_at,219221_at,225512_at,230754_at,236557_at","STATURE_QUANTITATIVE_TRAIT_LOCUS_10__STQTL10"
"ZBTB4","ZBTB4","AMPL37141407",324,350,461,472,449,430,225,234,0,"zinc_finger_and_BTB_domain_containing_4","23847","57659","225629_s_at,227047_x_at","."
"ZBTB40","ZBTB40","AMPL24982366",92,91,126,153,148,117,95,112,0,"zinc_finger_and_BTB_domain_containing_40","29045","9923","1559728_at,203958_s_at,203959_s_at","."
"ZBTB41","ZBTB41","AMPL22174007",131,114,118,100,117,169,98,83,0,"zinc_finger_and_BTB_domain_containing_41","24819","360023","226962_at","."
"ZBTB43","ZBTB43","AMPL3256073",34,26,52,65,41,51,43,36,0,"zinc_finger_and_BTB_domain_containing_43","17908","23099","204180_s_at,204181_s_at,204182_s_at,227991_x_at","."
"ZBTB44","ZBTB44","AMPL25345436",32,56,27,25,36,33,25,30,0,"zinc_finger_and_BTB_domain_containing_44","25001","29068","1554469_at,1554470_s_at,220243_at,225845_at,226148_at","."
"ZBTB45","ZBTB45","AMPL16981286",94,84,78,89,109,116,97,114,0,"zinc_finger_and_BTB_domain_containing_45","23715","84878","229862_x_at,240551_at","."
"ZBTB48","ZBTB48","AMPL29363269",22,26,36,20,19,30,35,29,0,"zinc_finger_and_BTB_domain_containing_48","4930","3104","205025_at","."
"ZBTB49","ZBTB49","AMPL35161064",14,15,18,9,9,10,21,10,0,"zinc_finger_and_BTB_domain_containing_49","19883","166793","229089_at","."
"ZBTB5","ZBTB5","AMPL26239505",43,29,83,55,69,62,43,49,0,"zinc_finger_and_BTB_domain_containing_5","23836","9925","203026_at","."
"ZBTB6","ZBTB6","AMPL12147724",34,48,55,54,69,30,25,33,0,"zinc_finger_and_BTB_domain_containing_6","16764","10773","206098_at","."
"ZBTB7A","ZBTB7A","AMPL32281716",106,119,151,137,126,104,86,108,0,"zinc_finger_and_BTB_domain_containing_7A","18078","51341","213299_at,213303_x_at,219186_at,226554_at","."
"ZBTB8A","ZBTB8A","AMPL3707484",57,64,40,79,59,56,70,66,0,"zinc_finger_and_BTB_domain_containing_8A","24172","653121","235142_at","."
"ZBTB8OS","ZBTB8OS","AMPL18254493",307,280,230,209,317,275,292,319,0,"zinc_finger_and_BTB_domain_containing_8_opposite_strand","24094","339487","228970_at","."
